gu,sum,male,female
종로구,8573,3385,5188
중구,7553,3028,4525
용산구,11170,3873,7297
성동구,11231,3644,7587
광진구,12159,3982,8177
동대문,17040,6118,10922
중랑구,19260,6736,12524
성북구,18225,5551,12674
강북구,25195,8311,16884
도봉구,14961,4807,10154
노원구,23770,6787,16983
은평구,20800,6516,14284
서대문구,13620,4106,9514
마포구,13329,3978,9351
양천구,15131,4718,10413
강서구,22863,7570,15293
구로구,15983,5379,10604
금천구,10731,3815,6916
영등포구,15208,5469,9739
동작구,14691,4281,10410
관악구,20308,6902,13406
서초구,10318,3200,7118
강남구,15432,4742,10690
송파구,18741,6124,12617
강동구,16059,5412,10647
