지역(시),지역(구),합계,남,여
서울특별시,종로구,8573,3385,5188
서울특별시,중구,7553,3028,4525
서울특별시,용산구,11170,3873,7297
서울특별시,성동구,11231,3644,7587
서울특별시,광진구,12159,3982,8177
서울특별시,동대문,17040,6118,10922
서울특별시,중랑구,19260,6736,12524
서울특별시,성북구,18225,5551,12674
서울특별시,강북구,25195,8311,16884
서울특별시,도봉구,14961,4807,10154
서울특별시,노원구,23770,6787,16983
서울특별시,은평구,20800,6516,14284
서울특별시,서대문구,13620,4106,9514
서울특별시,마포구,13329,3978,9351
서울특별시,양천구,15131,4718,10413
서울특별시,강서구,22863,7570,15293
서울특별시,구로구,15983,5379,10604
서울특별시,금천구,10731,3815,6916
서울특별시,영등포구,15208,5469,9739
서울특별시,동작구,14691,4281,10410
서울특별시,관악구,20308,6902,13406
서울특별시,서초구,10318,3200,7118
서울특별시,강남구,15432,4742,10690
서울특별시,송파구,18741,6124,12617
서울특별시,강동구,16059,5412,10647
