"동별(1)",동별(2),동별(3),2015,2016,2017,2018,2019,2020,2021
"동별(1)",동별(2),동별(3),시설합계,시설합계,시설합계,시설합계,시설합계,시설합계,시설합계
"합계",소계,소계,3777,3808,3815,3885,3942,3910,3869
"합계",종로구,소계,70,69,71,75,76,75,74
"합계",종로구,사직동,-,2,2,2,2,2,...
"합계",종로구,삼청동,-,2,2,2,2,2,...
"합계",종로구,부암동,-,2,2,3,3,3,...
"합계",종로구,평창동,-,7,7,7,7,7,...
"합계",종로구,무악동,-,4,6,6,6,6,...
"합계",종로구,교남동,-,3,3,6,7,7,...
"합계",종로구,가회동,-,4,4,4,4,4,...
"합계",종로구,종로1.2.3.4가동,-,7,7,6,6,5,...
"합계",종로구,종로5.6가동,-,4,4,5,5,5,...
"합계",종로구,이화동,-,7,7,7,7,7,...
"합계",종로구,창신1동,-,4,4,4,4,4,...
"합계",종로구,창신2동,-,3,3,3,3,3,...
"합계",종로구,창신3동,-,4,4,4,4,4,...
"합계",종로구,숭인1동,-,3,3,3,3,3,...
"합계",종로구,숭인2동,-,5,5,5,5,5,...
"합계",종로구,청운효자동,-,2,2,2,2,2,...
"합계",종로구,혜화동,-,6,6,6,6,6,...
"합계",중구,소계,52,50,51,52,53,54,54
"합계",중구,소공동,-,1,1,2,2,2,...
"합계",중구,회현동,-,4,4,4,4,4,...
"합계",중구,명동,-,1,1,1,1,1,...
"합계",중구,필동,-,1,1,1,1,1,...
"합계",중구,장충동,-,2,2,3,2,2,...
"합계",중구,광희동,-,2,2,2,3,3,...
"합계",중구,을지로동,-,1,1,1,1,1,...
"합계",중구,신당5동,-,9,9,7,4,8,...
"합계",중구,황학동,-,3,3,3,5,3,...
"합계",중구,중림동,-,3,4,4,6,4,...
"합계",중구,신당동,-,2,2,2,8,3,...
"합계",중구,다산동,-,4,4,3,3,4,...
"합계",중구,약수동,-,6,6,6,5,6,...
"합계",중구,청구동,-,5,5,6,3,6,...
"합계",중구,동화동,-,6,6,7,5,6,...
"합계",용산구,소계,111,111,112,115,111,110,111
"합계",용산구,후암동,-,6,6,6,6,5,...
"합계",용산구,용산2가동,-,5,5,5,5,5,...
"합계",용산구,남영동,-,5,5,4,4,4,...
"합계",용산구,원효로2동,-,8,6,8,8,8,...
"합계",용산구,효창동,-,5,7,7,7,7,...
"합계",용산구,용문동,-,6,8,6,6,6,...
"합계",용산구,이촌1동,-,10,5,12,12,12,...
"합계",용산구,이촌2동,-,7,6,7,7,7,...
"합계",용산구,이태원1동,-,5,11,5,5,5,...
"합계",용산구,이태원2동,-,5,10,4,3,3,...
"합계",용산구,서빙고동,-,5,7,5,5,5,...
"합계",용산구,보광동,-,10,5,10,10,10,...
"합계",용산구,청파동,-,7,6,7,5,5,...
"합계",용산구,원효로1동,-,6,9,8,8,8,...
"합계",용산구,한강로동,-,11,5,11,10,10,...
"합계",용산구,한남동,-,10,11,10,10,10,...
"합계",성동구,소계,168,172,178,180,179,179,177
"합계",성동구,왕십리2동,-,-,14,...,...,15,...
"합계",성동구,마장동,-,-,16,...,...,16,...
"합계",성동구,사근동,-,-,8,...,...,8,...
