"구분별(1)",구분별(2),2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018
"구분별(1)",구분별(2),종합,소득창출 활동,취미/교양 활동,종교활동,자원봉사,자기계발,손자녀 양육,종합,소득창출 활동,취미/교양 활동,종교활동,자원봉사,손자녀 양육,종합,소득창출 활동,취미/교양 활동,종교활동,자원봉사,손자녀 양육
"서울시",소계,5.73,6.21,6.63,5.42,5.66,5.77,4.71,5.67,6.21,6.63,5.33,5.54,4.63,5.63,6.28,6.77,5.27,5.44,4.41
"성별",남자,5.71,6.37,6.61,5.34,5.60,5.78,4.57,5.63,6.44,6.63,5.15,5.46,4.49,5.60,6.43,6.76,5.10,5.38,4.34
"성별",여자,5.76,6.06,6.65,5.50,5.71,5.77,4.85,5.70,5.99,6.63,5.51,5.61,4.76,5.66,6.14,6.78,5.42,5.49,4.47
"연령별",10대,5.82,6.39,6.64,5.39,5.98,6.07,4.46,5.80,6.60,6.97,5.15,5.74,4.51,5.58,6.36,7.13,5.07,5.39,3.93
"연령별",20대,5.82,6.39,6.71,5.35,5.86,6.15,4.48,5.83,6.63,6.98,5.30,5.73,4.51,5.67,6.69,7.13,4.96,5.40,4.18
"연령별",30대,5.71,6.13,6.52,5.39,5.74,5.90,4.61,5.81,6.51,6.86,5.22,5.73,4.73,5.73,6.51,6.97,5.15,5.50,4.52
"연령별",40대,5.74,6.18,6.42,5.46,5.74,5.83,4.83,5.78,6.38,6.71,5.33,5.66,4.82,5.73,6.45,6.87,5.28,5.57,4.49
"연령별",50대,5.73,6.11,6.45,5.51,5.63,5.75,4.91,5.68,6.24,6.59,5.39,5.52,4.66,5.75,6.29,6.71,5.48,5.61,4.65
"연령별",60대 이상,5.66,6.21,6.99,5.39,5.30,5.28,4.79,5.30,5.39,6.06,5.46,5.10,4.48,5.36,5.60,6.21,5.45,5.19,4.36
"학력별",중졸 이하,5.67,6.12,6.86,5.36,5.38,5.43,4.84,5.15,5.29,5.90,5.36,4.88,4.32,5.15,5.60,5.95,5.30,4.90,4.03
"학력별",고졸 이하,5.72,6.20,6.65,5.43,5.61,5.67,4.77,5.63,6.12,6.51,5.31,5.47,4.72,5.67,6.26,6.69,5.36,5.50,4.53
"학력별",대졸 이하,5.75,6.23,6.58,5.42,5.73,5.89,4.66,5.80,6.47,6.85,5.33,5.70,4.66,5.72,6.44,6.98,5.20,5.51,4.45
"학력별",대학원 이상,5.76,6.41,6.47,5.49,5.56,5.87,4.74,5.98,6.49,7.37,5.57,6.26,4.23,5.72,6.26,7.32,5.31,5.86,3.84
"소득별",100 만원 미만,5.65,6.18,6.84,5.10,5.52,5.56,4.68,5.04,5.34,5.92,5.30,4.78,3.89,5.07,5.63,6.12,5.14,4.75,3.71
"소득별",100-200만 미만,5.72,6.23,6.78,5.34,5.56,5.57,4.86,5.36,5.87,6.20,5.44,5.05,4.25,5.25,5.67,6.32,5.19,5.03,4.04
"소득별",200-300만 미만,5.74,6.24,6.69,5.44,5.60,5.74,4.75,5.58,6.27,6.44,5.29,5.40,4.50,5.58,6.47,6.67,5.22,5.35,4.21
"소득별",300-400만 미만,5.73,6.21,6.60,5.41,5.63,5.81,4.70,5.71,6.38,6.66,5.24,5.59,4.67,5.74,6.45,6.69,5.40,5.61,4.53
"소득별",400-500만 미만,5.73,6.19,6.56,5.44,5.70,5.77,4.70,5.75,6.35,6.73,5.33,5.63,4.69,5.77,6.55,6.86,5.30,5.60,4.54
"소득별",500만 이상,5.75,6.22,6.63,5.45,5.69,5.82,4.68,5.78,6.20,6.81,5.38,5.71,4.80,5.67,6.22,6.93,5.24,5.47,4.50
"혼인상태별",기혼,5.73,6.21,6.61,5.45,5.60,5.70,4.78,5.68,6.11,6.59,5.37,5.54,4.79,5.71,6.21,6.75,5.41,5.53,4.66
